text,label
Photo of a sunset over the beach.,invalid
"Sale Deed?? for propety Survey No 4629, Nagpur. Owner: Ramesh Patil. Signature mismatch.",fake
"Sale Deed?? for propety Survey No 3330, Shirpur. Owner: Ramesh Patil. Signature mismatch.",fake
"Sale Deed for property bearing Survey No 1444, Shirpur. Owner: Anil Sharma. Registered at Sub-Registrar Office.",real_estate
"Sale Deed for property bearing Survey No 2193, Mumbai. Owner: Anil Sharma. Registered at Sub-Registrar Office.",real_estate
"Sale Deed for property bearing Survey No 3426, Mumbai. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
"Property Registration Document: Plot No 65, Survey No 8758, located at Shirpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Lease Agreement for Plot No 64, Pune. Missing notary stamp. Signed by Priya Desai.",fake
This is a recipe for making masala dosa.,invalid
"Sale Deed?? for propety Survey No 8994, Nagpur. Owner: Ramesh Patil. Signature mismatch.",fake
"Property Registration Document: Plot No 72, Survey No 2679, located at Nagpur. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
"Pr0perty Reg!stration Documnt: Plot No 448, Survey No 8213, locatd at Shirpur. No stamp duty found.",fake
"Sale Deed?? for propety Survey No 9313, Nashik. Owner: Suresh Joshi. Signature mismatch.",fake
"Lease Agreement for Plot No 342, Shirpur. Missing notary stamp. Signed by Suresh Joshi.",fake
This is a recipe for making masala dosa.,invalid
Lease Agreement for Plot No 311 in Nashik. Signed between Priya Desai and Government of Maharashtra.,real_estate
"Property Registration Document: Plot No 387, Survey No 1771, located at Shirpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Sale Deed?? for propety Survey No 8679, Pune. Owner: Anil Sharma. Signature mismatch.",fake
"Pr0perty Reg!stration Documnt: Plot No 132, Survey No 8894, locatd at Pune. No stamp duty found.",fake
"Sale Deed for property bearing Survey No 7735, Mumbai. Owner: Ramesh Patil. Registered at Sub-Registrar Office.",real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
Photo of a sunset over the beach.,invalid
"Property Registration Document: Plot No 492, Survey No 9320, located at Shirpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
"Lease Agreement for Plot No 360, Nagpur. Missing notary stamp. Signed by Ramesh Patil.",fake
"Lease Agreement for Plot No 54, Pune. Missing notary stamp. Signed by Anil Sharma.",fake
"Lease Agreement for Plot No 68, Mumbai. Missing notary stamp. Signed by Anil Sharma.",fake
Photo of a sunset over the beach.,invalid
"Sale Deed for property bearing Survey No 6934, Mumbai. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
"Sale Deed for property bearing Survey No 2341, Mumbai. Owner: Ramesh Patil. Registered at Sub-Registrar Office.",real_estate
"Sale Deed for property bearing Survey No 3091, Nagpur. Owner: Ramesh Patil. Registered at Sub-Registrar Office.",real_estate
"Sale Deed for property bearing Survey No 5557, Shirpur. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
"Sale Deed for property bearing Survey No 4456, Nagpur. Owner: Priya Desai. Registered at Sub-Registrar Office.",real_estate
Photo of a sunset over the beach.,invalid
"Sale Deed for property bearing Survey No 7930, Nagpur. Owner: Anil Sharma. Registered at Sub-Registrar Office.",real_estate
"Sale Deed?? for propety Survey No 1893, Nagpur. Owner: Priya Desai. Signature mismatch.",fake
This is a recipe for making masala dosa.,invalid
"Lease Agreement for Plot No 47, Shirpur. Missing notary stamp. Signed by Ramesh Patil.",fake
University admission letter for Bachelor of Science.,invalid
"Sale Deed?? for propety Survey No 2557, Pune. Owner: Anil Sharma. Signature mismatch.",fake
Photo of a sunset over the beach.,invalid
"Property Registration Document: Plot No 98, Survey No 5861, located at Nashik. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
"Sale Deed?? for propety Survey No 6419, Pune. Owner: Anil Sharma. Signature mismatch.",fake
"Sale Deed?? for propety Survey No 8222, Shirpur. Owner: Priya Desai. Signature mismatch.",fake
"Lease Agreement for Plot No 209, Nagpur. Missing notary stamp. Signed by Suresh Joshi.",fake
"Sale Deed?? for propety Survey No 6374, Nagpur. Owner: Suresh Joshi. Signature mismatch.",fake
"Lease Agreement for Plot No 111, Pune. Missing notary stamp. Signed by Suresh Joshi.",fake
Lease Agreement for Plot No 251 in Shirpur. Signed between Ramesh Patil and Government of Maharashtra.,real_estate
"Property Registration Document: Plot No 435, Survey No 7882, located at Mumbai. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
"Property Registration Document: Plot No 297, Survey No 1420, located at Pune. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
"Sale Deed for property bearing Survey No 4249, Shirpur. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
"Property Registration Document: Plot No 143, Survey No 8579, located at Nashik. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
"Lease Agreement for Plot No 196, Shirpur. Missing notary stamp. Signed by Suresh Joshi.",fake
"Sale Deed?? for propety Survey No 7798, Pune. Owner: Priya Desai. Signature mismatch.",fake
"Sale Deed?? for propety Survey No 3385, Nashik. Owner: Anil Sharma. Signature mismatch.",fake
"Lease Agreement for Plot No 473, Shirpur. Missing notary stamp. Signed by Ramesh Patil.",fake
"Grocery shopping list: milk, eggs, bread.",invalid
"Lease Agreement for Plot No 243, Mumbai. Missing notary stamp. Signed by Suresh Joshi.",fake
Lease Agreement for Plot No 102 in Mumbai. Signed between Suresh Joshi and Government of Maharashtra.,real_estate
This is a recipe for making masala dosa.,invalid
"Sale Deed for property bearing Survey No 6325, Nashik. Owner: Anil Sharma. Registered at Sub-Registrar Office.",real_estate
Lease Agreement for Plot No 190 in Nagpur. Signed between Priya Desai and Government of Maharashtra.,real_estate
"Pr0perty Reg!stration Documnt: Plot No 300, Survey No 8141, locatd at Mumbai. No stamp duty found.",fake
"Property Registration Document: Plot No 221, Survey No 6279, located at Mumbai. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
This is a recipe for making masala dosa.,invalid
Lease Agreement for Plot No 42 in Nagpur. Signed between Priya Desai and Government of Maharashtra.,real_estate
Photo of a sunset over the beach.,invalid
This is a recipe for making masala dosa.,invalid
Lease Agreement for Plot No 66 in Mumbai. Signed between Anil Sharma and Government of Maharashtra.,real_estate
"Property Registration Document: Plot No 76, Survey No 1400, located at Shirpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Lease Agreement for Plot No 449, Nagpur. Missing notary stamp. Signed by Priya Desai.",fake
"Grocery shopping list: milk, eggs, bread.",invalid
"Property Registration Document: Plot No 305, Survey No 2113, located at Nashik. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
"Pr0perty Reg!stration Documnt: Plot No 387, Survey No 9394, locatd at Shirpur. No stamp duty found.",fake
Lease Agreement for Plot No 210 in Mumbai. Signed between Priya Desai and Government of Maharashtra.,real_estate
University admission letter for Bachelor of Science.,invalid
"Property Registration Document: Plot No 120, Survey No 9279, located at Nagpur. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
"Lease Agreement for Plot No 446, Mumbai. Missing notary stamp. Signed by Anil Sharma.",fake
"Property Registration Document: Plot No 192, Survey No 3646, located at Nagpur. Registered owner: Ramesh Patil. Stamp duty paid.",real_estate
Invoice for mobile phone purchase.,invalid
Lease Agreement for Plot No 401 in Pune. Signed between Anil Sharma and Government of Maharashtra.,real_estate
This is a recipe for making masala dosa.,invalid
"Property Registration Document: Plot No 233, Survey No 1053, located at Pune. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
University admission letter for Bachelor of Science.,invalid
Photo of a sunset over the beach.,invalid
"Sale Deed for property bearing Survey No 3417, Shirpur. Owner: Ramesh Patil. Registered at Sub-Registrar Office.",real_estate
"Property Registration Document: Plot No 443, Survey No 3662, located at Nashik. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
Photo of a sunset over the beach.,invalid
Lease Agreement for Plot No 295 in Mumbai. Signed between Anil Sharma and Government of Maharashtra.,real_estate
"Lease Agreement for Plot No 27, Nagpur. Missing notary stamp. Signed by Priya Desai.",fake
"Property Registration Document: Plot No 127, Survey No 4681, located at Shirpur. Registered owner: Priya Desai. Stamp duty paid.",real_estate
"Sale Deed for property bearing Survey No 7118, Mumbai. Owner: Anil Sharma. Registered at Sub-Registrar Office.",real_estate
"Pr0perty Reg!stration Documnt: Plot No 313, Survey No 7267, locatd at Nagpur. No stamp duty found.",fake
"Lease Agreement for Plot No 381, Mumbai. Missing notary stamp. Signed by Ramesh Patil.",fake
This is a recipe for making masala dosa.,invalid
Invoice for mobile phone purchase.,invalid
"Sale Deed?? for propety Survey No 7078, Nagpur. Owner: Anil Sharma. Signature mismatch.",fake
"Sale Deed for property bearing Survey No 4728, Nashik. Owner: Ramesh Patil. Registered at Sub-Registrar Office.",real_estate
"Sale Deed?? for propety Survey No 2070, Mumbai. Owner: Anil Sharma. Signature mismatch.",fake
"Property Registration Document: Plot No 496, Survey No 5573, located at Pune. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
"Pr0perty Reg!stration Documnt: Plot No 427, Survey No 4180, locatd at Pune. No stamp duty found.",fake
"Pr0perty Reg!stration Documnt: Plot No 290, Survey No 1803, locatd at Nagpur. No stamp duty found.",fake
"Pr0perty Reg!stration Documnt: Plot No 80, Survey No 3579, locatd at Nagpur. No stamp duty found.",fake
"Pr0perty Reg!stration Documnt: Plot No 285, Survey No 1982, locatd at Nagpur. No stamp duty found.",fake
"Sale Deed?? for propety Survey No 6314, Nagpur. Owner: Ramesh Patil. Signature mismatch.",fake
Invoice for mobile phone purchase.,invalid
"Sale Deed?? for propety Survey No 5906, Shirpur. Owner: Ramesh Patil. Signature mismatch.",fake
"Sale Deed?? for propety Survey No 2330, Nashik. Owner: Suresh Joshi. Signature mismatch.",fake
Photo of a sunset over the beach.,invalid
"Property Registration Document: Plot No 200, Survey No 6507, located at Mumbai. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Sale Deed for property bearing Survey No 8668, Nagpur. Owner: Priya Desai. Registered at Sub-Registrar Office.",real_estate
"Sale Deed?? for propety Survey No 1897, Shirpur. Owner: Suresh Joshi. Signature mismatch.",fake
Lease Agreement for Plot No 432 in Pune. Signed between Ramesh Patil and Government of Maharashtra.,real_estate
"Sale Deed?? for propety Survey No 7046, Mumbai. Owner: Priya Desai. Signature mismatch.",fake
"Grocery shopping list: milk, eggs, bread.",invalid
This is a recipe for making masala dosa.,invalid
"Property Registration Document: Plot No 26, Survey No 8811, located at Nagpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
University admission letter for Bachelor of Science.,invalid
"Sale Deed?? for propety Survey No 9692, Pune. Owner: Anil Sharma. Signature mismatch.",fake
This is a recipe for making masala dosa.,invalid
"Property Registration Document: Plot No 450, Survey No 2290, located at Shirpur. Registered owner: Anil Sharma. Stamp duty paid.",real_estate
Lease Agreement for Plot No 374 in Nashik. Signed between Anil Sharma and Government of Maharashtra.,real_estate
"Property Registration Document: Plot No 430, Survey No 1333, located at Nagpur. Registered owner: Suresh Joshi. Stamp duty paid.",real_estate
"Sale Deed for property bearing Survey No 9849, Shirpur. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
University admission letter for Bachelor of Science.,invalid
Invoice for mobile phone purchase.,invalid
Invoice for mobile phone purchase.,invalid
Lease Agreement for Plot No 217 in Pune. Signed between Suresh Joshi and Government of Maharashtra.,real_estate
Lease Agreement for Plot No 468 in Pune. Signed between Suresh Joshi and Government of Maharashtra.,real_estate
"Grocery shopping list: milk, eggs, bread.",invalid
This is a recipe for making masala dosa.,invalid
"Sale Deed?? for propety Survey No 7302, Mumbai. Owner: Ramesh Patil. Signature mismatch.",fake
Photo of a sunset over the beach.,invalid
"Lease Agreement for Plot No 189, Pune. Missing notary stamp. Signed by Suresh Joshi.",fake
"Sale Deed for property bearing Survey No 5198, Pune. Owner: Suresh Joshi. Registered at Sub-Registrar Office.",real_estate
Lease Agreement for Plot No 244 in Pune. Signed between Anil Sharma and Government of Maharashtra.,real_estate
