document_id,document_type,content,label
real_1,real_estate,Property Sale Agreement between party A and party B for land parcel #1000 located in Maharashtra with registration number REG1000.,valid
real_2,real_estate,Property Sale Agreement between party A and party B for land parcel #1001 located in Maharashtra with registration number REG1001.,valid
real_3,real_estate,Property Sale Agreement between party A and party B for land parcel #1002 located in Maharashtra with registration number REG1002.,valid
real_4,real_estate,Property Sale Agreement between party A and party B for land parcel #1003 located in Maharashtra with registration number REG1003.,valid
real_5,real_estate,Property Sale Agreement between party A and party B for land parcel #1004 located in Maharashtra with registration number REG1004.,valid
real_6,real_estate,Property Sale Agreement between party A and party B for land parcel #1005 located in Maharashtra with registration number REG1005.,valid
real_7,real_estate,Property Sale Agreement between party A and party B for land parcel #1006 located in Maharashtra with registration number REG1006.,valid
real_8,real_estate,Property Sale Agreement between party A and party B for land parcel #1007 located in Maharashtra with registration number REG1007.,valid
real_9,real_estate,Property Sale Agreement between party A and party B for land parcel #1008 located in Maharashtra with registration number REG1008.,valid
real_10,real_estate,Property Sale Agreement between party A and party B for land parcel #1009 located in Maharashtra with registration number REG1009.,valid
real_11,real_estate,Property Sale Agreement between party A and party B for land parcel #1010 located in Maharashtra with registration number REG1010.,valid
real_12,real_estate,Property Sale Agreement between party A and party B for land parcel #1011 located in Maharashtra with registration number REG1011.,valid
real_13,real_estate,Property Sale Agreement between party A and party B for land parcel #1012 located in Maharashtra with registration number REG1012.,valid
real_14,real_estate,Property Sale Agreement between party A and party B for land parcel #1013 located in Maharashtra with registration number REG1013.,valid
real_15,real_estate,Property Sale Agreement between party A and party B for land parcel #1014 located in Maharashtra with registration number REG1014.,valid
real_16,real_estate,Property Sale Agreement between party A and party B for land parcel #1015 located in Maharashtra with registration number REG1015.,valid
real_17,real_estate,Property Sale Agreement between party A and party B for land parcel #1016 located in Maharashtra with registration number REG1016.,valid
real_18,real_estate,Property Sale Agreement between party A and party B for land parcel #1017 located in Maharashtra with registration number REG1017.,valid
real_19,real_estate,Property Sale Agreement between party A and party B for land parcel #1018 located in Maharashtra with registration number REG1018.,valid
real_20,real_estate,Property Sale Agreement between party A and party B for land parcel #1019 located in Maharashtra with registration number REG1019.,valid
real_21,real_estate,Property Sale Agreement between party A and party B for land parcel #1020 located in Maharashtra with registration number REG1020.,valid
real_22,real_estate,Property Sale Agreement between party A and party B for land parcel #1021 located in Maharashtra with registration number REG1021.,valid
real_23,real_estate,Property Sale Agreement between party A and party B for land parcel #1022 located in Maharashtra with registration number REG1022.,valid
real_24,real_estate,Property Sale Agreement between party A and party B for land parcel #1023 located in Maharashtra with registration number REG1023.,valid
real_25,real_estate,Property Sale Agreement between party A and party B for land parcel #1024 located in Maharashtra with registration number REG1024.,valid
real_26,real_estate,Property Sale Agreement between party A and party B for land parcel #1025 located in Maharashtra with registration number REG1025.,valid
real_27,real_estate,Property Sale Agreement between party A and party B for land parcel #1026 located in Maharashtra with registration number REG1026.,valid
real_28,real_estate,Property Sale Agreement between party A and party B for land parcel #1027 located in Maharashtra with registration number REG1027.,valid
real_29,real_estate,Property Sale Agreement between party A and party B for land parcel #1028 located in Maharashtra with registration number REG1028.,valid
real_30,real_estate,Property Sale Agreement between party A and party B for land parcel #1029 located in Maharashtra with registration number REG1029.,valid
real_31,real_estate,Property Sale Agreement between party A and party B for land parcel #1030 located in Maharashtra with registration number REG1030.,valid
real_32,real_estate,Property Sale Agreement between party A and party B for land parcel #1031 located in Maharashtra with registration number REG1031.,valid
real_33,real_estate,Property Sale Agreement between party A and party B for land parcel #1032 located in Maharashtra with registration number REG1032.,valid
real_34,real_estate,Property Sale Agreement between party A and party B for land parcel #1033 located in Maharashtra with registration number REG1033.,valid
real_35,real_estate,Property Sale Agreement between party A and party B for land parcel #1034 located in Maharashtra with registration number REG1034.,valid
real_36,real_estate,Property Sale Agreement between party A and party B for land parcel #1035 located in Maharashtra with registration number REG1035.,valid
real_37,real_estate,Property Sale Agreement between party A and party B for land parcel #1036 located in Maharashtra with registration number REG1036.,valid
real_38,real_estate,Property Sale Agreement between party A and party B for land parcel #1037 located in Maharashtra with registration number REG1037.,valid
real_39,real_estate,Property Sale Agreement between party A and party B for land parcel #1038 located in Maharashtra with registration number REG1038.,valid
real_40,real_estate,Property Sale Agreement between party A and party B for land parcel #1039 located in Maharashtra with registration number REG1039.,valid
real_41,real_estate,Property Sale Agreement between party A and party B for land parcel #1040 located in Maharashtra with registration number REG1040.,valid
real_42,real_estate,Property Sale Agreement between party A and party B for land parcel #1041 located in Maharashtra with registration number REG1041.,valid
real_43,real_estate,Property Sale Agreement between party A and party B for land parcel #1042 located in Maharashtra with registration number REG1042.,valid
real_44,real_estate,Property Sale Agreement between party A and party B for land parcel #1043 located in Maharashtra with registration number REG1043.,valid
real_45,real_estate,Property Sale Agreement between party A and party B for land parcel #1044 located in Maharashtra with registration number REG1044.,valid
real_46,real_estate,Property Sale Agreement between party A and party B for land parcel #1045 located in Maharashtra with registration number REG1045.,valid
real_47,real_estate,Property Sale Agreement between party A and party B for land parcel #1046 located in Maharashtra with registration number REG1046.,valid
real_48,real_estate,Property Sale Agreement between party A and party B for land parcel #1047 located in Maharashtra with registration number REG1047.,valid
real_49,real_estate,Property Sale Agreement between party A and party B for land parcel #1048 located in Maharashtra with registration number REG1048.,valid
real_50,real_estate,Property Sale Agreement between party A and party B for land parcel #1049 located in Maharashtra with registration number REG1049.,valid
real_51,real_estate,Property Sale Agreement between party A and party B for land parcel #1050 located in Maharashtra with registration number REG1050.,valid
real_52,real_estate,Property Sale Agreement between party A and party B for land parcel #1051 located in Maharashtra with registration number REG1051.,valid
real_53,real_estate,Property Sale Agreement between party A and party B for land parcel #1052 located in Maharashtra with registration number REG1052.,valid
real_54,real_estate,Property Sale Agreement between party A and party B for land parcel #1053 located in Maharashtra with registration number REG1053.,valid
real_55,real_estate,Property Sale Agreement between party A and party B for land parcel #1054 located in Maharashtra with registration number REG1054.,valid
real_56,real_estate,Property Sale Agreement between party A and party B for land parcel #1055 located in Maharashtra with registration number REG1055.,valid
real_57,real_estate,Property Sale Agreement between party A and party B for land parcel #1056 located in Maharashtra with registration number REG1056.,valid
real_58,real_estate,Property Sale Agreement between party A and party B for land parcel #1057 located in Maharashtra with registration number REG1057.,valid
real_59,real_estate,Property Sale Agreement between party A and party B for land parcel #1058 located in Maharashtra with registration number REG1058.,valid
real_60,real_estate,Property Sale Agreement between party A and party B for land parcel #1059 located in Maharashtra with registration number REG1059.,valid
real_61,real_estate,Property Sale Agreement between party A and party B for land parcel #1060 located in Maharashtra with registration number REG1060.,valid
real_62,real_estate,Property Sale Agreement between party A and party B for land parcel #1061 located in Maharashtra with registration number REG1061.,valid
real_63,real_estate,Property Sale Agreement between party A and party B for land parcel #1062 located in Maharashtra with registration number REG1062.,valid
real_64,real_estate,Property Sale Agreement between party A and party B for land parcel #1063 located in Maharashtra with registration number REG1063.,valid
real_65,real_estate,Property Sale Agreement between party A and party B for land parcel #1064 located in Maharashtra with registration number REG1064.,valid
real_66,real_estate,Property Sale Agreement between party A and party B for land parcel #1065 located in Maharashtra with registration number REG1065.,valid
real_67,real_estate,Property Sale Agreement between party A and party B for land parcel #1066 located in Maharashtra with registration number REG1066.,valid
real_68,real_estate,Property Sale Agreement between party A and party B for land parcel #1067 located in Maharashtra with registration number REG1067.,valid
real_69,real_estate,Property Sale Agreement between party A and party B for land parcel #1068 located in Maharashtra with registration number REG1068.,valid
real_70,real_estate,Property Sale Agreement between party A and party B for land parcel #1069 located in Maharashtra with registration number REG1069.,valid
real_71,real_estate,Property Sale Agreement between party A and party B for land parcel #1070 located in Maharashtra with registration number REG1070.,valid
real_72,real_estate,Property Sale Agreement between party A and party B for land parcel #1071 located in Maharashtra with registration number REG1071.,valid
real_73,real_estate,Property Sale Agreement between party A and party B for land parcel #1072 located in Maharashtra with registration number REG1072.,valid
real_74,real_estate,Property Sale Agreement between party A and party B for land parcel #1073 located in Maharashtra with registration number REG1073.,valid
real_75,real_estate,Property Sale Agreement between party A and party B for land parcel #1074 located in Maharashtra with registration number REG1074.,valid
real_76,real_estate,Property Sale Agreement between party A and party B for land parcel #1075 located in Maharashtra with registration number REG1075.,valid
real_77,real_estate,Property Sale Agreement between party A and party B for land parcel #1076 located in Maharashtra with registration number REG1076.,valid
real_78,real_estate,Property Sale Agreement between party A and party B for land parcel #1077 located in Maharashtra with registration number REG1077.,valid
real_79,real_estate,Property Sale Agreement between party A and party B for land parcel #1078 located in Maharashtra with registration number REG1078.,valid
real_80,real_estate,Property Sale Agreement between party A and party B for land parcel #1079 located in Maharashtra with registration number REG1079.,valid
real_81,real_estate,Property Sale Agreement between party A and party B for land parcel #1080 located in Maharashtra with registration number REG1080.,valid
real_82,real_estate,Property Sale Agreement between party A and party B for land parcel #1081 located in Maharashtra with registration number REG1081.,valid
real_83,real_estate,Property Sale Agreement between party A and party B for land parcel #1082 located in Maharashtra with registration number REG1082.,valid
real_84,real_estate,Property Sale Agreement between party A and party B for land parcel #1083 located in Maharashtra with registration number REG1083.,valid
real_85,real_estate,Property Sale Agreement between party A and party B for land parcel #1084 located in Maharashtra with registration number REG1084.,valid
real_86,real_estate,Property Sale Agreement between party A and party B for land parcel #1085 located in Maharashtra with registration number REG1085.,valid
real_87,real_estate,Property Sale Agreement between party A and party B for land parcel #1086 located in Maharashtra with registration number REG1086.,valid
real_88,real_estate,Property Sale Agreement between party A and party B for land parcel #1087 located in Maharashtra with registration number REG1087.,valid
real_89,real_estate,Property Sale Agreement between party A and party B for land parcel #1088 located in Maharashtra with registration number REG1088.,valid
real_90,real_estate,Property Sale Agreement between party A and party B for land parcel #1089 located in Maharashtra with registration number REG1089.,valid
real_91,real_estate,Property Sale Agreement between party A and party B for land parcel #1090 located in Maharashtra with registration number REG1090.,valid
real_92,real_estate,Property Sale Agreement between party A and party B for land parcel #1091 located in Maharashtra with registration number REG1091.,valid
real_93,real_estate,Property Sale Agreement between party A and party B for land parcel #1092 located in Maharashtra with registration number REG1092.,valid
